pre,post,mask,pseudo_class,score,raw_diff,edge_change,ssim_change,area
tiles\images\EARTHQUAKE-TURKEY_006827_pre.png,tiles\images\EARTHQUAKE-TURKEY_006827_post.png,tiles\labels\EARTHQUAKE-TURKEY_006827_masks.png,0,0.4179270082755777,0.1135960221290588,0.0556141547858715,0.5365686591932641,2688
tiles\images\EARTHQUAKE-TURKEY_017254_pre.png,tiles\images\EARTHQUAKE-TURKEY_017254_post.png,tiles\labels\EARTHQUAKE-TURKEY_017254_masks.png,1,0.7779761439198798,0.25469970703125,0.0671140104532241,0.8865256412002175,31252
tiles\images\EARTHQUAKE-TURKEY_007209_pre.png,tiles\images\EARTHQUAKE-TURKEY_007209_post.png,tiles\labels\EARTHQUAKE-TURKEY_007209_masks.png,0,0.606342511793659,0.1695671379566192,0.0613344088196754,0.8760331132545359,9612
tiles\images\EARTHQUAKE-TURKEY_012579_pre.png,tiles\images\EARTHQUAKE-TURKEY_012579_post.png,tiles\labels\EARTHQUAKE-TURKEY_012579_masks.png,1,0.8042953322838541,0.2962994575500488,0.0767196267843246,0.9460794605368352,6360
tiles\images\EARTHQUAKE-TURKEY_013683_pre.png,tiles\images\EARTHQUAKE-TURKEY_013683_post.png,tiles\labels\EARTHQUAKE-TURKEY_013683_masks.png,1,0.7876735189242188,0.2852360904216766,0.0688949152827262,0.9216557300006464,220
tiles\images\EARTHQUAKE-TURKEY_014658_pre.png,tiles\images\EARTHQUAKE-TURKEY_014658_post.png,tiles\labels\EARTHQUAKE-TURKEY_014658_masks.png,0,0.7365934696365477,0.2280802428722381,0.0674505829811096,0.8962855471020347,52994
tiles\images\EARTHQUAKE-TURKEY_000818_pre.png,tiles\images\EARTHQUAKE-TURKEY_000818_post.png,tiles\labels\EARTHQUAKE-TURKEY_000818_masks.png,1,0.7651748070301374,0.2916006445884704,0.0678402334451675,0.8170722843119301,1286
tiles\images\EARTHQUAKE-TURKEY_017963_pre.png,tiles\images\EARTHQUAKE-TURKEY_017963_post.png,tiles\labels\EARTHQUAKE-TURKEY_017963_masks.png,0,0.7156955705969936,0.2128818780183792,0.0673694610595703,0.9443881148543988,72174
tiles\images\EARTHQUAKE-TURKEY_016139_pre.png,tiles\images\EARTHQUAKE-TURKEY_016139_post.png,tiles\labels\EARTHQUAKE-TURKEY_016139_masks.png,0,0.6946291774960791,0.2132772207260131,0.0665745362639427,0.8410646582406934,14937
tiles\images\EARTHQUAKE-TURKEY_008947_pre.png,tiles\images\EARTHQUAKE-TURKEY_008947_post.png,tiles\labels\EARTHQUAKE-TURKEY_008947_masks.png,0,0.6491150863206014,0.2018765658140182,0.0551803298294544,0.8129572997419166,46006
