pre,post,mask
tiles/images\EARTHQUAKE-TURKEY_000013_pre.png,tiles/images\EARTHQUAKE-TURKEY_000013_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000013_class.png
tiles/images\EARTHQUAKE-TURKEY_000042_pre.png,tiles/images\EARTHQUAKE-TURKEY_000042_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000042_class.png
tiles/images\EARTHQUAKE-TURKEY_000059_pre.png,tiles/images\EARTHQUAKE-TURKEY_000059_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000059_class.png
tiles/images\EARTHQUAKE-TURKEY_000102_pre.png,tiles/images\EARTHQUAKE-TURKEY_000102_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000102_class.png
tiles/images\EARTHQUAKE-TURKEY_000120_pre.png,tiles/images\EARTHQUAKE-TURKEY_000120_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000120_class.png
tiles/images\EARTHQUAKE-TURKEY_000161_pre.png,tiles/images\EARTHQUAKE-TURKEY_000161_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000161_class.png
tiles/images\EARTHQUAKE-TURKEY_000191_pre.png,tiles/images\EARTHQUAKE-TURKEY_000191_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000191_class.png
tiles/images\EARTHQUAKE-TURKEY_000236_pre.png,tiles/images\EARTHQUAKE-TURKEY_000236_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000236_class.png
tiles/images\EARTHQUAKE-TURKEY_000237_pre.png,tiles/images\EARTHQUAKE-TURKEY_000237_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000237_class.png
tiles/images\EARTHQUAKE-TURKEY_000295_pre.png,tiles/images\EARTHQUAKE-TURKEY_000295_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000295_class.png
tiles/images\EARTHQUAKE-TURKEY_000297_pre.png,tiles/images\EARTHQUAKE-TURKEY_000297_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000297_class.png
tiles/images\EARTHQUAKE-TURKEY_000313_pre.png,tiles/images\EARTHQUAKE-TURKEY_000313_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000313_class.png
tiles/images\EARTHQUAKE-TURKEY_000317_pre.png,tiles/images\EARTHQUAKE-TURKEY_000317_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000317_class.png
tiles/images\EARTHQUAKE-TURKEY_000318_pre.png,tiles/images\EARTHQUAKE-TURKEY_000318_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000318_class.png
tiles/images\EARTHQUAKE-TURKEY_000341_pre.png,tiles/images\EARTHQUAKE-TURKEY_000341_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000341_class.png
tiles/images\EARTHQUAKE-TURKEY_000355_pre.png,tiles/images\EARTHQUAKE-TURKEY_000355_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000355_class.png
tiles/images\EARTHQUAKE-TURKEY_000357_pre.png,tiles/images\EARTHQUAKE-TURKEY_000357_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000357_class.png
tiles/images\EARTHQUAKE-TURKEY_000367_pre.png,tiles/images\EARTHQUAKE-TURKEY_000367_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000367_class.png
tiles/images\EARTHQUAKE-TURKEY_000387_pre.png,tiles/images\EARTHQUAKE-TURKEY_000387_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000387_class.png
tiles/images\EARTHQUAKE-TURKEY_000415_pre.png,tiles/images\EARTHQUAKE-TURKEY_000415_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000415_class.png
tiles/images\EARTHQUAKE-TURKEY_000418_pre.png,tiles/images\EARTHQUAKE-TURKEY_000418_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000418_class.png
tiles/images\EARTHQUAKE-TURKEY_000443_pre.png,tiles/images\EARTHQUAKE-TURKEY_000443_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000443_class.png
tiles/images\EARTHQUAKE-TURKEY_000490_pre.png,tiles/images\EARTHQUAKE-TURKEY_000490_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000490_class.png
tiles/images\EARTHQUAKE-TURKEY_000548_pre.png,tiles/images\EARTHQUAKE-TURKEY_000548_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000548_class.png
tiles/images\EARTHQUAKE-TURKEY_000554_pre.png,tiles/images\EARTHQUAKE-TURKEY_000554_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000554_class.png
tiles/images\EARTHQUAKE-TURKEY_000568_pre.png,tiles/images\EARTHQUAKE-TURKEY_000568_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000568_class.png
tiles/images\EARTHQUAKE-TURKEY_000585_pre.png,tiles/images\EARTHQUAKE-TURKEY_000585_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000585_class.png
tiles/images\EARTHQUAKE-TURKEY_000608_pre.png,tiles/images\EARTHQUAKE-TURKEY_000608_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000608_class.png
tiles/images\EARTHQUAKE-TURKEY_000622_pre.png,tiles/images\EARTHQUAKE-TURKEY_000622_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000622_class.png
tiles/images\EARTHQUAKE-TURKEY_000642_pre.png,tiles/images\EARTHQUAKE-TURKEY_000642_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000642_class.png
tiles/images\EARTHQUAKE-TURKEY_000668_pre.png,tiles/images\EARTHQUAKE-TURKEY_000668_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000668_class.png
tiles/images\EARTHQUAKE-TURKEY_000677_pre.png,tiles/images\EARTHQUAKE-TURKEY_000677_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000677_class.png
tiles/images\EARTHQUAKE-TURKEY_000690_pre.png,tiles/images\EARTHQUAKE-TURKEY_000690_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000690_class.png
tiles/images\EARTHQUAKE-TURKEY_000703_pre.png,tiles/images\EARTHQUAKE-TURKEY_000703_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000703_class.png
tiles/images\EARTHQUAKE-TURKEY_000731_pre.png,tiles/images\EARTHQUAKE-TURKEY_000731_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000731_class.png
tiles/images\EARTHQUAKE-TURKEY_000738_pre.png,tiles/images\EARTHQUAKE-TURKEY_000738_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000738_class.png
tiles/images\EARTHQUAKE-TURKEY_000743_pre.png,tiles/images\EARTHQUAKE-TURKEY_000743_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000743_class.png
tiles/images\EARTHQUAKE-TURKEY_000774_pre.png,tiles/images\EARTHQUAKE-TURKEY_000774_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000774_class.png
