pre,post,mask
tiles\images\EARTHQUAKE-TURKEY_000102_pre.png,tiles\images\EARTHQUAKE-TURKEY_000102_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000102_class.png
tiles\images\EARTHQUAKE-TURKEY_007281_pre.png,tiles\images\EARTHQUAKE-TURKEY_007281_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007281_class.png
tiles\images\EARTHQUAKE-TURKEY_000387_pre.png,tiles\images\EARTHQUAKE-TURKEY_000387_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000387_class.png
tiles\images\EARTHQUAKE-TURKEY_001978_pre.png,tiles\images\EARTHQUAKE-TURKEY_001978_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001978_class.png
tiles\images\EARTHQUAKE-TURKEY_009808_pre.png,tiles\images\EARTHQUAKE-TURKEY_009808_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009808_class.png
tiles\images\EARTHQUAKE-TURKEY_003004_pre.png,tiles\images\EARTHQUAKE-TURKEY_003004_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003004_class.png
tiles\images\EARTHQUAKE-TURKEY_015322_pre.png,tiles\images\EARTHQUAKE-TURKEY_015322_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015322_class.png
tiles\images\EARTHQUAKE-TURKEY_002388_pre.png,tiles\images\EARTHQUAKE-TURKEY_002388_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002388_class.png
tiles\images\EARTHQUAKE-TURKEY_000577_pre.png,tiles\images\EARTHQUAKE-TURKEY_000577_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000577_class.png
tiles\images\EARTHQUAKE-TURKEY_012998_pre.png,tiles\images\EARTHQUAKE-TURKEY_012998_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012998_class.png
tiles\images\EARTHQUAKE-TURKEY_009237_pre.png,tiles\images\EARTHQUAKE-TURKEY_009237_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009237_class.png
tiles\images\EARTHQUAKE-TURKEY_010863_pre.png,tiles\images\EARTHQUAKE-TURKEY_010863_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010863_class.png
tiles\images\EARTHQUAKE-TURKEY_013860_pre.png,tiles\images\EARTHQUAKE-TURKEY_013860_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013860_class.png
tiles\images\EARTHQUAKE-TURKEY_017370_pre.png,tiles\images\EARTHQUAKE-TURKEY_017370_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017370_class.png
tiles\images\EARTHQUAKE-TURKEY_005270_pre.png,tiles\images\EARTHQUAKE-TURKEY_005270_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005270_class.png
tiles\images\EARTHQUAKE-TURKEY_008914_pre.png,tiles\images\EARTHQUAKE-TURKEY_008914_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008914_class.png
tiles\images\EARTHQUAKE-TURKEY_004714_pre.png,tiles\images\EARTHQUAKE-TURKEY_004714_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004714_class.png
tiles\images\EARTHQUAKE-TURKEY_001435_pre.png,tiles\images\EARTHQUAKE-TURKEY_001435_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001435_class.png
tiles\images\EARTHQUAKE-TURKEY_013807_pre.png,tiles\images\EARTHQUAKE-TURKEY_013807_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013807_class.png
tiles\images\EARTHQUAKE-TURKEY_009490_pre.png,tiles\images\EARTHQUAKE-TURKEY_009490_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009490_class.png
tiles\images\EARTHQUAKE-TURKEY_008321_pre.png,tiles\images\EARTHQUAKE-TURKEY_008321_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008321_class.png
tiles\images\EARTHQUAKE-TURKEY_000295_pre.png,tiles\images\EARTHQUAKE-TURKEY_000295_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000295_class.png
tiles\images\EARTHQUAKE-TURKEY_009676_pre.png,tiles\images\EARTHQUAKE-TURKEY_009676_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009676_class.png
tiles\images\EARTHQUAKE-TURKEY_003733_pre.png,tiles\images\EARTHQUAKE-TURKEY_003733_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003733_class.png
tiles\images\EARTHQUAKE-TURKEY_012323_pre.png,tiles\images\EARTHQUAKE-TURKEY_012323_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012323_class.png
tiles\images\EARTHQUAKE-TURKEY_006409_pre.png,tiles\images\EARTHQUAKE-TURKEY_006409_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006409_class.png
tiles\images\EARTHQUAKE-TURKEY_008424_pre.png,tiles\images\EARTHQUAKE-TURKEY_008424_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008424_class.png
